title,artist_name,release,year,tag,caption_writing
Written in the stars,Blackmore's Night,Fires at midnight,2001,"['dramatic' 'guitar virtuoso' 'heavy metal' 'indulgent' 'pop rock'
 'atmospheric' 'hard rock' 'refined' 'folk']","This song showcases the undeniable talent of a guitar virtuoso, seamlessly blending the refined elements of pop rock and folk with the atmospheric and dramatic sounds of heavy metal and hard rock, resulting in an indulgent and unforgettable musical experience."
Destiny Of Love,Secret Service,Top Secret (Greatest Hits),2000,['rock' 'pop'],This upbeat song combines elements of pop and rock music to create a catchy and energetic anthem.
Moonbeam Woman,Freak Power,Drive-Thru Booty,1994,['funk' 'pop rock'],"This pop rock anthem is infused with funky beats, guaranteed to get you grooving and singing along."
Love May Seem Hard,Rebekka Bakken,I Keep My Cool,2006,"['jazz' 'guitar jazz' 'jazz instrument' 'adult contemporary'
 'alternative indie rock' 'jazz pop' 'female vocalists' 'pop rock'
 'sophisti pop']","Get lost in a melodic mix of alternative indie rock, pop rock, and jazz with stunning female vocalists and intricate jazz instrumentals, sprinkled with hints of sophisti pop and adult contemporary, all coming together to create a smooth and sophisticated blend of jazz pop that will have you tapping your feet to the gentle strums of guitar jazz."
Corrupt TV,Pitbulls In The Nursery,Lunatic,2006,"['death metal' 'malevolent' 'aggressive' 'intense' 'technical death metal'
 'heavy metal' 'industrial' 'sophisticated' 'fiery' 'ambitious'
 'alternative indie rock' 'metal' 'elaborate' 'pop rock'
 'progressive metal' 'progressive' 'gritty' 'refined' 'power metal'
 'harsh' 'industrial metal' 'fierce' 'angry']","Combining the aggressive edge of industrial metal with the sophisticated intricacy of progressive rock, this alternative indie rock outfit delivers an elaborate and ambitious sound that seamlessly blends pop rock and heavy metal influences, resulting in an intense and gritty musical experience that ranges from refined and progressive to malevolent and fiery, all while showcasing the band's technical prowess across genres like death metal, power metal, and technical death metal, with fiercely delivered, harsh and angry vocals - this is the epitome of a malevolent and ambitious industrial rock band."
Good For Me,Medicine,Mechanical Forces Of Love,0,['experimental'],"This experimental song takes listeners on an eclectic sonic journey, weaving together unconventional sounds and melodies into a thought-provoking and memorable experience."
Put The Word Out,Heatwave,Central Heating,1978,"['exuberant' 'smooth' 'romantic' 'celebratory' '70s' 'boisterous' 'rnb'
 'happy' 'quiet storm' 'amiable good natured' 'carefree' 'rousing'
 'stylish' 'warm' 'fun' 'funk' 'soul' 'summery' 'disco' 'gleeful'
 'cheerful' 'sweet' 'slick' 'joyous']","This soulful and exuberant disco hit is an amiable good natured tune that's as sweet as it is happy, with slick romantic vocals and a funk-infused beat that's sure to get you moving. It's a fun and warm track that's both rousing and joyous, combining classic RnB with elements of quiet storm and smooth, boisterous 70s funk for a celebratory, stylish sound that's perfect for summery days and carefree nights. The lyrics are gleeful and cheerful, inspiring a sense of pure, unbridled joy that's impossible to resist."
I Love You Baby,Paul Anka,1957 Radio Hits,1960,['oldies' 'jazz'],"Travel back in time with this nostalgic jazz tune, brimming with oldies charm and irresistible swing rhythms."
L.A. Goodbye,Secret Service,Top Secret (Greatest Hits),1999,['pop' '80s'],Experience the nostalgic sounds of the 80s with a modern twist in this upbeat pop anthem.
Nothing Lasts,Matthew Sweet,Girlfriend,1991,"['power pop' 'earnest' 'confident' 'organic' 'alternative pop rock'
 'melancholy' 'alternative' 'happy' 'amiable good natured' 'passionate'
 'sentimental' 'rousing' 'sophisticated' 'energetic' 'gentle'
 'bittersweet' 'innocent' 'alternative indie rock' 'yearning' 'pop rock'
 'cheerful' 'sweet' 'joyous']","This energetic and sophisticated alternative indie rock tune combines sentimental yearning and passionate power pop with an amiable good-natured confidence, sweet earnestness, and happy innocence, while also touching on the gentle melancholy of alternative pop rock and the rousing joyousness of alternative pop rock, creating a bittersweet but ultimately cheerful and organic sound."
Somebody Who Loves You,Joan Armatrading,Love And Affection - The Best Of,1976,['beautiful' 'female vocalists'],This hauntingly beautiful track features mesmerizing female vocalists that will send shivers down your spine.
Victim Of Mass Production,The Cribs,Ignore The Ignorant,2009,"['hanging out' 'indie rock' 'urgent' 'reflective' 'confident' 'brooding'
 'partying' 'aggressive' 'messy' 'day driving' 'road trip' 'witty'
 'coolncocky' 'british' 'guys night out' 'heartache' 'rock' 'wry'
 'alternative' 'passionate' 'post punk' 'wistful' 'rousing' 'energetic'
 'fiery' 'bittersweet' 'english' 'alternative indie rock' 'reflection'
 'searching' 'pop rock' 'poignant' 'lively' 'gutsy' 'visceral' 'indie'
 'freewheeling']","Get ready for a wild guys night out on the open road with this aggressive and energetic alternative indie rock anthem that perfectly captures the freewheeling spirit of day driving while offering both witty and poignant reflections on heartache and searching for purpose, backed by a fiery and passionate pop rock sound with post punk and brooding indie influences, all topped off with a confident and gutsy British flair that is both cool and cocky, making it the perfect soundtrack for partying and hanging out with friends, all with a messy yet rousing and reflective vibe that is both visceral and wistful - this is indie rock at its most lively and urgent, a must-listen for anyone who craves a mix of alternative and mainstream sounds that is both quintessentially English and boldly innovative."
Take Me To Your Heart,Rick Astley,Playlist: The Very Best Of Rick Astley,1988,"['exuberant' 'hanging out' 'celebratory' 'girls night out' 'pop'
 'amiable good natured' 'carefree' 'sentimental' 'adult contemporary'
 'dance pop' 'stylish' 'energetic' 'tgif' 'dance' 'fun' 'pop rock'
 'refined' 'cheerful' 'playful' '80s']","Get ready to dance the night away with this playful and energetic pop rock anthem that perfectly captures the carefree spirit of a girls night out, blending refined adult contemporary elements with exuberant dance pop and stylish 80s vibes to create a celebratory and fun-filled atmosphere that is both sentimental and amiable good-natured."
Whatnot,Pat Metheny,Day Trip/Tokyo Day Trip,0,['guitar' 'jazz' 'guitar jazz' 'jazz instrument'],"This smooth jazz groove features a lively guitar jazz melody that weaves seamlessly through the rhythm section, showcasing the soulful elegance of this iconic jazz instrument."
Splattitorium,The Pharcyde,Labcabincalifornia,1995,"['hanging out' 'confident' 'smooth' 'humorous' 'aggressive' 'witty'
 'hip hop' 'brash' 'whimsical' 'rap' 'energetic' 'cynical sarcastic'
 'irreverent' 'fun' 'west coast rap' 'gleeful' 'playful' 'alternative rap'
 'freewheeling']","This upbeat alternative rap anthem is a freewheeling, irreverent celebration of hanging out and having fun on the West Coast, with biting wit and cynical sarcasm delivered in a confident, brash, and playful style that blends aggressive hip hop energy with smooth, whimsical flow and gleeful humor."
I Hear You Knockin',The Magic Numbers,Take A Chance,2006,"['earnest' 'indie rock' 'laid back mellow' 'reflective' 'relaxed' 'gentle'
 'warm' 'alternative indie rock' 'adult alternative pop rock'
 'calm peaceful' 'pop rock' 'intimate' 'precious' 'sweet' 'indie']","This beautiful song blends the best of adult alternative pop rock with alternative indie rock to create a calm, peaceful, and relaxed atmosphere with sweet, laid-back melodies and precious lyrics that are both gentle and earnest, while the warm, indie rock sound adds an intimate, reflective touch."
Fingimento,Evandro Camperom,Algazarra,0,['international' 'indie'],"An international indie hit, this track blends ethereal vocals, eclectic instrumentation, and introspective lyrics to create a truly captivating listening experience."
Give It What You Can,The Meters,New Directions,1977,"['exuberant' 'greasy' 'confident' 'organic' 'celebratory' 'boisterous'
 'rnb' 'happy' 'rambunctious' 'passionate' 'carefree' 'rollicking'
 'rousing' 'street smart' 'earthy' 'urban' 'energetic' 'fun' 'funk' 'soul'
 'summery' 'new orleans rnb' 'playful' 'new orleans' 'sweet' 'joyous']","This song is an energetic and exuberant celebration of the earthy, street smart sounds of New Orleans R&B and funk, with a rollicking beat, passionate vocals, and confident, playful lyrics that are both sweet and carefree. With a joyous, rousing melody and boisterous, summery feel, this track is the perfect soundtrack for a joyful, celebratory night out on the town, full of soul, organic energy, and unabashed exuberance."
Dominicana (Amended Version),Tego Calderon,El Abayarde,2003,['reggaeton' 'latin'],Get ready to move to the beat of this Latin-inspired reggaeton tune that's guaranteed to get you on your feet!
